,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score,rank_train_score
0,-0.5538791311445772,0.4432628538250492,1,-0.48556422069734884,0.02445383520251117,4
1,-0.8453448275862069,0.5384907565474448,8,-0.8380295566502463,0.02048896921982276,5
2,-0.8453448275862068,0.5384907565474442,5,-0.8380295566502463,0.02048896921982272,5
3,-0.5760137267890036,0.47153307154664265,3,-0.30245867601373416,0.015662681892763985,1
4,-0.5706232092564559,0.4680196824006637,2,-0.30320399978804646,0.015674886254224103,2
5,-0.8453448275862068,0.5384907565474442,5,-0.8380295566502463,0.02048896921982272,5
6,-0.845344827586207,0.5384907565474446,9,-0.8380295566502463,0.020488969219822795,5
7,-0.8453448275862068,0.5384907565474442,5,-0.8380295566502463,0.02048896921982272,5
8,-0.7470255035191035,0.5467504433840522,4,-0.4115749694787819,0.01574471556601084,3
9,-0.845344827586207,0.5384907565474446,9,-0.8380295566502463,0.020488969219822795,5
