sample,depth_m,facies_num,bioturb,amb1,amb2,drx_qz,drx_pl,drx_fk,drx_ca,drx_py,drx_arc,drx_arc_i,drx_arc_is,drx_arc_cl,drx_arc_k,toc,if,imp_toc
IG 42,58.0,10,0,1,0,6,2,1,2,1,2,41.0,35.0,20.0,4.0,1.59,0.85,1.59
IG 41,56.0,10,0,1,0,5,1,1,5,0,2,48.0,34.0,12.0,6.0,,,1.59
IG 40,53.0,10,0,1,0,6,1,1,4,0,2,34.0,44.0,15.0,7.0,2.44,0.71,2.44
IG 39,46.0,10,0,1,0,6,1,1,1,0,3,38.0,50.0,9.0,3.0,2.09,0.76,2.09
IG 37 - 38,40.0,10,0,1,0,6,2,1,5,0,3,46.0,37.0,16.0,0.0,1.88,0.64,1.88
IG 36,38.0,10,0,1,0,6,1,1,1,0,3,45.0,39.0,13.0,4.0,,,1.765
IG 34 - 35,35.5,10,0,1,0,6,2,1,4,0,3,36.0,51.0,13.0,0.0,1.65,0.75,1.65
IG 27 - 28,28.0,10,0,1,0,6,2,1,2,0,3,40.0,39.0,17.0,4.0,1.56,0.78,1.56
IG 26,25.5,10,0,1,0,6,1,1,1,1,3,44.0,37.0,15.0,4.0,,,1.56
IG -24-25,24.5,10,0,1,0,6,2,1,3,1,3,29.0,40.0,21.0,10.0,,,1.56
IG 23,24.0,12,0,1,0,6,2,1,3,1,3,42.0,30.0,25.0,3.0,1.43,0.79,1.43
"IG 22 ",24.0,12,0,1,0,6,2,1,3,0,3,41.0,37.0,20.0,2.0,,,1.43
IG 18 - 19,15.5,10,0,1,0,6,1,1,3,0,3,50.0,32.0,17.0,2.0,,,2.165
IG 17,15.2,10,0,1,0,6,1,1,5,0,3,34.0,42.0,20.0,4.0,2.81,0.52,2.81
IG14 - 15,13.0,10,0,1,0,6,1,1,1,0,3,46.0,36.0,16.0,2.0,,,2.165
IG 12 - 13,12.0,10,0,1,0,6,2,1,3,0,3,47.0,28.0,25.0,0.0,1.52,0.74,1.52
IG 10 - 11,5.0,10,0,1,0,6,2,1,3,0,3,64.0,23.0,11.0,3.0,,,1.59
IG 9,4.0,10,0,1,0,6,2,1,3,0,3,48.0,39.0,13.0,0.0,1.59,0.72,1.59
IG 8,4.0,10,0,1,0,6,2,1,3,0,3,59.0,26.0,15.0,0.0,,,1.59
IG 7,3.2,10,0,1,0,6,1,1,3,0,3,46.0,32.0,15.0,7.0,,,1.59
IG 6,3.0,10,0,1,0,6,1,1,3,0,3,57.0,28.0,15.0,0.0,,,1.59
IG 5,0.5,10,0,1,0,6,1,1,1,0,3,46.0,33.0,21.0,0.0,,,0.07
IG 4,0.5,10,0,1,0,6,1,1,1,1,3,60.0,19.0,21.0,0.0,0.07,0.9,0.07
